sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
09.11.2023 00:00;
09.11.2023 00:10;
09.11.2023 00:20;
09.11.2023 00:30;
09.11.2023 00:40;
09.11.2023 00:50;
09.11.2023 01:00;
09.11.2023 01:10;
09.11.2023 01:20;
09.11.2023 01:30;
09.11.2023 01:40;
09.11.2023 01:50;
09.11.2023 02:00;
09.11.2023 02:10;
09.11.2023 02:20;
09.11.2023 02:30;
09.11.2023 02:40;
09.11.2023 02:50;
09.11.2023 03:00;
09.11.2023 03:10;
09.11.2023 03:20;
09.11.2023 03:30;
09.11.2023 03:40;
09.11.2023 03:50;
09.11.2023 04:00;
09.11.2023 04:10;
09.11.2023 04:20;
09.11.2023 04:30;
09.11.2023 04:40;
09.11.2023 04:50;
09.11.2023 05:00;
09.11.2023 05:10;
09.11.2023 05:20;
09.11.2023 05:30;
09.11.2023 05:40;
09.11.2023 05:50;
09.11.2023 06:00;
09.11.2023 06:10;
09.11.2023 06:20;
09.11.2023 06:30;
09.11.2023 06:40;
09.11.2023 06:50;
09.11.2023 07:00;
09.11.2023 07:10;
09.11.2023 07:20;
09.11.2023 07:30;
09.11.2023 07:40;
09.11.2023 07:50;
09.11.2023 08:00;
09.11.2023 08:10;
09.11.2023 08:20;
09.11.2023 08:30;
09.11.2023 08:40;
09.11.2023 08:50;46634,181
09.11.2023 09:00;46634,181
09.11.2023 09:10;46634,181
09.11.2023 09:20;46634,181
09.11.2023 09:30;46634,181
09.11.2023 09:40;46634,183
09.11.2023 09:50;46634,186
09.11.2023 10:00;46634,191
09.11.2023 10:10;46634,202
09.11.2023 10:20;46634,215
09.11.2023 10:30;46634,230
09.11.2023 10:40;46634,239
09.11.2023 10:50;46634,254
09.11.2023 11:00;46634,261
09.11.2023 11:10;46634,273
09.11.2023 11:20;46634,293
09.11.2023 11:30;46634,313
09.11.2023 11:40;46634,332
09.11.2023 11:50;46634,349
09.11.2023 12:00;46634,358
09.11.2023 12:10;46634,382
09.11.2023 12:20;46634,421
09.11.2023 12:30;46634,510
09.11.2023 12:40;46634,573
09.11.2023 12:50;46634,625
09.11.2023 13:00;46634,647
09.11.2023 13:10;46634,672
09.11.2023 13:20;46634,708
09.11.2023 13:30;46634,750
09.11.2023 13:40;46634,780
09.11.2023 13:50;46634,824
09.11.2023 14:00;46634,849
09.11.2023 14:10;46634,884
09.11.2023 14:20;46634,913
09.11.2023 14:30;46634,943
09.11.2023 14:40;46634,970
09.11.2023 14:50;46635,006
09.11.2023 15:00;46635,035
09.11.2023 15:10;46635,058
09.11.2023 15:20;46635,103
09.11.2023 15:30;46635,143
09.11.2023 15:40;46635,177
09.11.2023 15:50;46635,193
09.11.2023 16:00;46635,213
09.11.2023 16:10;46635,227
09.11.2023 16:20;46635,235
09.11.2023 16:30;46635,241
09.11.2023 16:40;46635,249
09.11.2023 16:50;46635,258
09.11.2023 17:00;46635,266
09.11.2023 17:10;46635,273
09.11.2023 17:20;46635,276
09.11.2023 17:30;46635,278
09.11.2023 17:40;46635,279
09.11.2023 17:50;46635,279
09.11.2023 18:00;
09.11.2023 18:10;
09.11.2023 18:20;
09.11.2023 18:30;
09.11.2023 18:40;
09.11.2023 18:50;
09.11.2023 19:00;
09.11.2023 19:10;
09.11.2023 19:20;
09.11.2023 19:30;
09.11.2023 19:40;
09.11.2023 19:50;
09.11.2023 20:00;
09.11.2023 20:10;
09.11.2023 20:20;
09.11.2023 20:30;
09.11.2023 20:40;
09.11.2023 20:50;
09.11.2023 21:00;
09.11.2023 21:10;
09.11.2023 21:20;
09.11.2023 21:30;
09.11.2023 21:40;
09.11.2023 21:50;
09.11.2023 22:00;
09.11.2023 22:10;
09.11.2023 22:20;
09.11.2023 22:30;
09.11.2023 22:40;
09.11.2023 22:50;
09.11.2023 23:00;
09.11.2023 23:10;
09.11.2023 23:20;
09.11.2023 23:30;
09.11.2023 23:40;
09.11.2023 23:50;
