sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
25.11.2023 00:00;
25.11.2023 00:10;
25.11.2023 00:20;
25.11.2023 00:30;
25.11.2023 00:40;
25.11.2023 00:50;
25.11.2023 01:00;
25.11.2023 01:10;
25.11.2023 01:20;
25.11.2023 01:30;
25.11.2023 01:40;
25.11.2023 01:50;
25.11.2023 02:00;
25.11.2023 02:10;
25.11.2023 02:20;
25.11.2023 02:30;
25.11.2023 02:40;
25.11.2023 02:50;
25.11.2023 03:00;
25.11.2023 03:10;
25.11.2023 03:20;
25.11.2023 03:30;
25.11.2023 03:40;
25.11.2023 03:50;
25.11.2023 04:00;
25.11.2023 04:10;
25.11.2023 04:20;
25.11.2023 04:30;
25.11.2023 04:40;
25.11.2023 04:50;
25.11.2023 05:00;
25.11.2023 05:10;
25.11.2023 05:20;
25.11.2023 05:30;
25.11.2023 05:40;
25.11.2023 05:50;
25.11.2023 06:00;
25.11.2023 06:10;
25.11.2023 06:20;
25.11.2023 06:30;
25.11.2023 06:40;
25.11.2023 06:50;
25.11.2023 07:00;
25.11.2023 07:10;
25.11.2023 07:20;
25.11.2023 07:30;
25.11.2023 07:40;
25.11.2023 07:50;
25.11.2023 08:00;
25.11.2023 08:10;
25.11.2023 08:20;
25.11.2023 08:30;
25.11.2023 08:40;
25.11.2023 08:50;
25.11.2023 09:00;
25.11.2023 09:10;46679,199
25.11.2023 09:20;46679,199
25.11.2023 09:30;46679,199
25.11.2023 09:40;46679,201
25.11.2023 09:50;46679,202
25.11.2023 10:00;46679,203
25.11.2023 10:10;46679,203
25.11.2023 10:20;46679,204
25.11.2023 10:30;46679,205
25.11.2023 10:40;46679,218
25.11.2023 10:50;46679,222
25.11.2023 11:00;46679,231
25.11.2023 11:10;46679,243
25.11.2023 11:20;46679,276
25.11.2023 11:30;46679,289
25.11.2023 11:40;46679,299
25.11.2023 11:50;46679,310
25.11.2023 12:00;46679,321
25.11.2023 12:10;46679,331
25.11.2023 12:20;46679,351
25.11.2023 12:30;46679,383
25.11.2023 12:40;46679,407
25.11.2023 12:50;46679,424
25.11.2023 13:00;46679,433
25.11.2023 13:10;46679,450
25.11.2023 13:20;46679,468
25.11.2023 13:30;46679,493
25.11.2023 13:40;46679,531
25.11.2023 13:50;46679,550
25.11.2023 14:00;46679,562
25.11.2023 14:10;46679,582
25.11.2023 14:20;46679,608
25.11.2023 14:30;46679,627
25.11.2023 14:40;46679,644
25.11.2023 14:50;46679,694
25.11.2023 15:00;46679,727
25.11.2023 15:10;46679,741
25.11.2023 15:20;46679,751
25.11.2023 15:30;46679,764
25.11.2023 15:40;46679,778
25.11.2023 15:50;46679,791
25.11.2023 16:00;46679,799
25.11.2023 16:10;46679,805
25.11.2023 16:20;46679,809
25.11.2023 16:30;46679,812
25.11.2023 16:40;46679,817
25.11.2023 16:50;46679,821
25.11.2023 17:00;46679,822
25.11.2023 17:10;46679,822
25.11.2023 17:20;46679,822
25.11.2023 17:30;
25.11.2023 17:40;
25.11.2023 17:50;
25.11.2023 18:00;
25.11.2023 18:10;
25.11.2023 18:20;
25.11.2023 18:30;
25.11.2023 18:40;
25.11.2023 18:50;
25.11.2023 19:00;
25.11.2023 19:10;
25.11.2023 19:20;
25.11.2023 19:30;
25.11.2023 19:40;
25.11.2023 19:50;
25.11.2023 20:00;
25.11.2023 20:10;
25.11.2023 20:20;
25.11.2023 20:30;
25.11.2023 20:40;
25.11.2023 20:50;
25.11.2023 21:00;
25.11.2023 21:10;
25.11.2023 21:20;
25.11.2023 21:30;
25.11.2023 21:40;
25.11.2023 21:50;
25.11.2023 22:00;
25.11.2023 22:10;
25.11.2023 22:20;
25.11.2023 22:30;
25.11.2023 22:40;
25.11.2023 22:50;
25.11.2023 23:00;
25.11.2023 23:10;
25.11.2023 23:20;
25.11.2023 23:30;
25.11.2023 23:40;
25.11.2023 23:50;
