sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
21.11.2023 00:00;
21.11.2023 00:10;
21.11.2023 00:20;
21.11.2023 00:30;
21.11.2023 00:40;
21.11.2023 00:50;
21.11.2023 01:00;
21.11.2023 01:10;
21.11.2023 01:20;
21.11.2023 01:30;
21.11.2023 01:40;
21.11.2023 01:50;
21.11.2023 02:00;
21.11.2023 02:10;
21.11.2023 02:20;
21.11.2023 02:30;
21.11.2023 02:40;
21.11.2023 02:50;
21.11.2023 03:00;
21.11.2023 03:10;
21.11.2023 03:20;
21.11.2023 03:30;
21.11.2023 03:40;
21.11.2023 03:50;
21.11.2023 04:00;
21.11.2023 04:10;
21.11.2023 04:20;
21.11.2023 04:30;
21.11.2023 04:40;
21.11.2023 04:50;
21.11.2023 05:00;
21.11.2023 05:10;
21.11.2023 05:20;
21.11.2023 05:30;
21.11.2023 05:40;
21.11.2023 05:50;
21.11.2023 06:00;
21.11.2023 06:10;
21.11.2023 06:20;
21.11.2023 06:30;
21.11.2023 06:40;
21.11.2023 06:50;
21.11.2023 07:00;
21.11.2023 07:10;
21.11.2023 07:20;
21.11.2023 07:30;
21.11.2023 07:40;
21.11.2023 07:50;
21.11.2023 08:00;
21.11.2023 08:10;
21.11.2023 08:20;
21.11.2023 08:30;
21.11.2023 08:40;
21.11.2023 08:50;
21.11.2023 09:00;
21.11.2023 09:10;46666,559
21.11.2023 09:20;46666,559
21.11.2023 09:30;46666,560
21.11.2023 09:40;46666,561
21.11.2023 09:50;46666,563
21.11.2023 10:00;46666,565
21.11.2023 10:10;46666,575
21.11.2023 10:20;46666,594
21.11.2023 10:30;46666,619
21.11.2023 10:40;46666,653
21.11.2023 10:50;46666,687
21.11.2023 11:00;46666,725
21.11.2023 11:10;46666,765
21.11.2023 11:20;46666,803
21.11.2023 11:30;46666,847
21.11.2023 11:40;46666,904
21.11.2023 11:50;46666,979
21.11.2023 12:00;46667,054
21.11.2023 12:10;46667,133
21.11.2023 12:20;46667,219
21.11.2023 12:30;46667,301
21.11.2023 12:40;46667,383
21.11.2023 12:50;46667,457
21.11.2023 13:00;46667,560
21.11.2023 13:10;46667,700
21.11.2023 13:20;46667,905
21.11.2023 13:30;46668,000
21.11.2023 13:40;46668,047
21.11.2023 13:50;46668,119
21.11.2023 14:00;46668,207
21.11.2023 14:10;46668,299
21.11.2023 14:20;46668,392
21.11.2023 14:30;46668,688
21.11.2023 14:40;46668,952
21.11.2023 14:50;46669,028
21.11.2023 15:00;46669,090
21.11.2023 15:10;46669,131
21.11.2023 15:20;46669,153
21.11.2023 15:30;46669,178
21.11.2023 15:40;46669,204
21.11.2023 15:50;46669,212
21.11.2023 16:00;46669,222
21.11.2023 16:10;46669,233
21.11.2023 16:20;46669,241
21.11.2023 16:30;46669,244
21.11.2023 16:40;46669,245
21.11.2023 16:50;46669,245
21.11.2023 17:00;46669,245
21.11.2023 17:10;46669,245
21.11.2023 17:20;46669,245
21.11.2023 17:30;46669,245
21.11.2023 17:40;
21.11.2023 17:50;
21.11.2023 18:00;
21.11.2023 18:10;
21.11.2023 18:20;
21.11.2023 18:30;
21.11.2023 18:40;
21.11.2023 18:50;
21.11.2023 19:00;
21.11.2023 19:10;
21.11.2023 19:20;
21.11.2023 19:30;
21.11.2023 19:40;
21.11.2023 19:50;
21.11.2023 20:00;
21.11.2023 20:10;
21.11.2023 20:20;
21.11.2023 20:30;
21.11.2023 20:40;
21.11.2023 20:50;
21.11.2023 21:00;
21.11.2023 21:10;
21.11.2023 21:20;
21.11.2023 21:30;
21.11.2023 21:40;
21.11.2023 21:50;
21.11.2023 22:00;
21.11.2023 22:10;
21.11.2023 22:20;
21.11.2023 22:30;
21.11.2023 22:40;
21.11.2023 22:50;
21.11.2023 23:00;
21.11.2023 23:10;
21.11.2023 23:20;
21.11.2023 23:30;
21.11.2023 23:40;
21.11.2023 23:50;
