sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
26.11.2023 00:00;
26.11.2023 00:10;
26.11.2023 00:20;
26.11.2023 00:30;
26.11.2023 00:40;
26.11.2023 00:50;
26.11.2023 01:00;
26.11.2023 01:10;
26.11.2023 01:20;
26.11.2023 01:30;
26.11.2023 01:40;
26.11.2023 01:50;
26.11.2023 02:00;
26.11.2023 02:10;
26.11.2023 02:20;
26.11.2023 02:30;
26.11.2023 02:40;
26.11.2023 02:50;
26.11.2023 03:00;
26.11.2023 03:10;
26.11.2023 03:20;
26.11.2023 03:30;
26.11.2023 03:40;
26.11.2023 03:50;
26.11.2023 04:00;
26.11.2023 04:10;
26.11.2023 04:20;
26.11.2023 04:30;
26.11.2023 04:40;
26.11.2023 04:50;
26.11.2023 05:00;
26.11.2023 05:10;
26.11.2023 05:20;
26.11.2023 05:30;
26.11.2023 05:40;
26.11.2023 05:50;
26.11.2023 06:00;
26.11.2023 06:10;
26.11.2023 06:20;
26.11.2023 06:30;
26.11.2023 06:40;
26.11.2023 06:50;
26.11.2023 07:00;
26.11.2023 07:10;
26.11.2023 07:20;
26.11.2023 07:30;
26.11.2023 07:40;
26.11.2023 07:50;
26.11.2023 08:00;
26.11.2023 08:10;
26.11.2023 08:20;
26.11.2023 08:30;
26.11.2023 08:40;
26.11.2023 08:50;
26.11.2023 09:00;46679,822
26.11.2023 09:10;46679,822
26.11.2023 09:20;46679,822
26.11.2023 09:30;46679,825
26.11.2023 09:40;46679,829
26.11.2023 09:50;46679,838
26.11.2023 10:00;46679,850
26.11.2023 10:10;46679,870
26.11.2023 10:20;46679,891
26.11.2023 10:30;46679,916
26.11.2023 10:40;46679,937
26.11.2023 10:50;46679,960
26.11.2023 11:00;46679,988
26.11.2023 11:10;46680,006
26.11.2023 11:20;46680,021
26.11.2023 11:30;46680,035
26.11.2023 11:40;46680,047
26.11.2023 11:50;46680,067
26.11.2023 12:00;46680,085
26.11.2023 12:10;46680,110
26.11.2023 12:20;46680,142
26.11.2023 12:30;46680,187
26.11.2023 12:40;46680,220
26.11.2023 12:50;46680,249
26.11.2023 13:00;46680,270
26.11.2023 13:10;46680,322
26.11.2023 13:20;46680,354
26.11.2023 13:30;46680,385
26.11.2023 13:40;46680,419
26.11.2023 13:50;46680,445
26.11.2023 14:00;46680,472
26.11.2023 14:10;46680,496
26.11.2023 14:20;46680,516
26.11.2023 14:30;46680,555
26.11.2023 14:40;46680,578
26.11.2023 14:50;46680,588
26.11.2023 15:00;46680,594
26.11.2023 15:10;46680,610
26.11.2023 15:20;46680,621
26.11.2023 15:30;46680,642
26.11.2023 15:40;46680,673
26.11.2023 15:50;46680,691
26.11.2023 16:00;46680,708
26.11.2023 16:10;46680,720
26.11.2023 16:20;46680,724
26.11.2023 16:30;46680,726
26.11.2023 16:40;46680,726
26.11.2023 16:50;46680,727
26.11.2023 17:00;46680,728
26.11.2023 17:10;46680,728
26.11.2023 17:20;46680,728
26.11.2023 17:30;
26.11.2023 17:40;
26.11.2023 17:50;
26.11.2023 18:00;
26.11.2023 18:10;
26.11.2023 18:20;
26.11.2023 18:30;
26.11.2023 18:40;
26.11.2023 18:50;
26.11.2023 19:00;
26.11.2023 19:10;
26.11.2023 19:20;
26.11.2023 19:30;
26.11.2023 19:40;
26.11.2023 19:50;
26.11.2023 20:00;
26.11.2023 20:10;
26.11.2023 20:20;
26.11.2023 20:30;
26.11.2023 20:40;
26.11.2023 20:50;
26.11.2023 21:00;
26.11.2023 21:10;
26.11.2023 21:20;
26.11.2023 21:30;
26.11.2023 21:40;
26.11.2023 21:50;
26.11.2023 22:00;
26.11.2023 22:10;
26.11.2023 22:20;
26.11.2023 22:30;
26.11.2023 22:40;
26.11.2023 22:50;
26.11.2023 23:00;
26.11.2023 23:10;
26.11.2023 23:20;
26.11.2023 23:30;
26.11.2023 23:40;
26.11.2023 23:50;
