sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
06.12.2023 00:00;
06.12.2023 00:10;
06.12.2023 00:20;
06.12.2023 00:30;
06.12.2023 00:40;
06.12.2023 00:50;
06.12.2023 01:00;
06.12.2023 01:10;
06.12.2023 01:20;
06.12.2023 01:30;
06.12.2023 01:40;
06.12.2023 01:50;
06.12.2023 02:00;
06.12.2023 02:10;
06.12.2023 02:20;
06.12.2023 02:30;
06.12.2023 02:40;
06.12.2023 02:50;
06.12.2023 03:00;
06.12.2023 03:10;
06.12.2023 03:20;
06.12.2023 03:30;
06.12.2023 03:40;
06.12.2023 03:50;
06.12.2023 04:00;
06.12.2023 04:10;
06.12.2023 04:20;
06.12.2023 04:30;
06.12.2023 04:40;
06.12.2023 04:50;
06.12.2023 05:00;
06.12.2023 05:10;
06.12.2023 05:20;
06.12.2023 05:30;
06.12.2023 05:40;
06.12.2023 05:50;
06.12.2023 06:00;
06.12.2023 06:10;
06.12.2023 06:20;
06.12.2023 06:30;
06.12.2023 06:40;
06.12.2023 06:50;
06.12.2023 07:00;
06.12.2023 07:10;
06.12.2023 07:20;
06.12.2023 07:30;
06.12.2023 07:40;
06.12.2023 07:50;
06.12.2023 08:00;
06.12.2023 08:10;
06.12.2023 08:20;
06.12.2023 08:30;
06.12.2023 08:40;
06.12.2023 08:50;
06.12.2023 09:00;
06.12.2023 09:10;
06.12.2023 09:20;
06.12.2023 09:30;
06.12.2023 09:40;46682,874
06.12.2023 09:50;46682,874
06.12.2023 10:00;46682,874
06.12.2023 10:10;46682,874
06.12.2023 10:20;46682,875
06.12.2023 10:30;46682,883
06.12.2023 10:40;46682,908
06.12.2023 10:50;46682,919
06.12.2023 11:00;46682,932
06.12.2023 11:10;
06.12.2023 11:20;46682,948
06.12.2023 11:30;
06.12.2023 11:40;46682,972
06.12.2023 11:50;46682,983
06.12.2023 12:00;46683,002
06.12.2023 12:10;46683,011
06.12.2023 12:20;46683,026
06.12.2023 12:30;46683,030
06.12.2023 12:40;46683,042
06.12.2023 12:50;46683,045
06.12.2023 13:00;
06.12.2023 13:10;46683,054
06.12.2023 13:20;
06.12.2023 13:30;46683,062
06.12.2023 13:40;46683,069
06.12.2023 13:50;
06.12.2023 14:00;46683,088
06.12.2023 14:10;46683,102
06.12.2023 14:20;46683,106
06.12.2023 14:30;46683,115
06.12.2023 14:40;
06.12.2023 14:50;46683,155
06.12.2023 15:00;46683,177
06.12.2023 15:10;
06.12.2023 15:20;46683,208
06.12.2023 15:30;46683,219
06.12.2023 15:40;46683,229
06.12.2023 15:50;
06.12.2023 16:00;46683,238
06.12.2023 16:10;46683,240
06.12.2023 16:20;46683,243
06.12.2023 16:30;46683,249
06.12.2023 16:40;
06.12.2023 16:50;46683,254
06.12.2023 17:00;46683,257
06.12.2023 17:10;46683,257
06.12.2023 17:20;46683,257
06.12.2023 17:30;
06.12.2023 17:40;
06.12.2023 17:50;
06.12.2023 18:00;
06.12.2023 18:10;
06.12.2023 18:20;
06.12.2023 18:30;
06.12.2023 18:40;
06.12.2023 18:50;
06.12.2023 19:00;
06.12.2023 19:10;
06.12.2023 19:20;
06.12.2023 19:30;
06.12.2023 19:40;
06.12.2023 19:50;
06.12.2023 20:00;
06.12.2023 20:10;
06.12.2023 20:20;
06.12.2023 20:30;
06.12.2023 20:40;
06.12.2023 20:50;
06.12.2023 21:00;
06.12.2023 21:10;
06.12.2023 21:20;
06.12.2023 21:30;
06.12.2023 21:40;
06.12.2023 21:50;
06.12.2023 22:00;
06.12.2023 22:10;
06.12.2023 22:20;
06.12.2023 22:30;
06.12.2023 22:40;
06.12.2023 22:50;
06.12.2023 23:00;
06.12.2023 23:10;
06.12.2023 23:20;
06.12.2023 23:30;
06.12.2023 23:40;
06.12.2023 23:50;
