sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
26.12.2023 00:00;
26.12.2023 00:10;
26.12.2023 00:20;
26.12.2023 00:30;
26.12.2023 00:40;
26.12.2023 00:50;
26.12.2023 01:00;
26.12.2023 01:10;
26.12.2023 01:20;
26.12.2023 01:30;
26.12.2023 01:40;
26.12.2023 01:50;
26.12.2023 02:00;
26.12.2023 02:10;
26.12.2023 02:20;
26.12.2023 02:30;
26.12.2023 02:40;
26.12.2023 02:50;
26.12.2023 03:00;
26.12.2023 03:10;
26.12.2023 03:20;
26.12.2023 03:30;
26.12.2023 03:40;
26.12.2023 03:50;
26.12.2023 04:00;
26.12.2023 04:10;
26.12.2023 04:20;
26.12.2023 04:30;
26.12.2023 04:40;
26.12.2023 04:50;
26.12.2023 05:00;
26.12.2023 05:10;
26.12.2023 05:20;
26.12.2023 05:30;
26.12.2023 05:40;
26.12.2023 05:50;
26.12.2023 06:00;
26.12.2023 06:10;
26.12.2023 06:20;
26.12.2023 06:30;
26.12.2023 06:40;
26.12.2023 06:50;
26.12.2023 07:00;
26.12.2023 07:10;
26.12.2023 07:20;
26.12.2023 07:30;
26.12.2023 07:40;
26.12.2023 07:50;
26.12.2023 08:00;
26.12.2023 08:10;
26.12.2023 08:20;
26.12.2023 08:30;
26.12.2023 08:40;
26.12.2023 08:50;
26.12.2023 09:00;
26.12.2023 09:10;
26.12.2023 09:20;
26.12.2023 09:30;
26.12.2023 09:40;
26.12.2023 09:50;46720,589
26.12.2023 10:00;46720,589
26.12.2023 10:10;46720,591
26.12.2023 10:20;46720,592
26.12.2023 10:30;46720,594
26.12.2023 10:40;46720,597
26.12.2023 10:50;46720,600
26.12.2023 11:00;46720,603
26.12.2023 11:10;46720,611
26.12.2023 11:20;46720,623
26.12.2023 11:30;46720,646
26.12.2023 11:40;46720,719
26.12.2023 11:50;46720,869
26.12.2023 12:00;46720,945
26.12.2023 12:10;46721,136
26.12.2023 12:20;46721,265
26.12.2023 12:30;46721,338
26.12.2023 12:40;46721,521
26.12.2023 12:50;46721,829
26.12.2023 13:00;46722,077
26.12.2023 13:10;46722,166
26.12.2023 13:20;46722,276
26.12.2023 13:30;46722,467
26.12.2023 13:40;46722,610
26.12.2023 13:50;46722,678
26.12.2023 14:00;46722,737
26.12.2023 14:10;46722,797
26.12.2023 14:20;46722,830
26.12.2023 14:30;46722,884
26.12.2023 14:40;46722,968
26.12.2023 14:50;46723,058
26.12.2023 15:00;46723,116
26.12.2023 15:10;46723,175
26.12.2023 15:20;46723,228
26.12.2023 15:30;46723,247
26.12.2023 15:40;46723,273
26.12.2023 15:50;46723,300
26.12.2023 16:00;46723,350
26.12.2023 16:10;46723,378
26.12.2023 16:20;46723,397
26.12.2023 16:30;46723,414
26.12.2023 16:40;46723,427
26.12.2023 16:50;46723,433
26.12.2023 17:00;46723,436
26.12.2023 17:10;46723,446
26.12.2023 17:20;46723,448
26.12.2023 17:30;46723,449
26.12.2023 17:40;46723,449
26.12.2023 17:50;
26.12.2023 18:00;
26.12.2023 18:10;
26.12.2023 18:20;
26.12.2023 18:30;
26.12.2023 18:40;
26.12.2023 18:50;
26.12.2023 19:00;
26.12.2023 19:10;
26.12.2023 19:20;
26.12.2023 19:30;
26.12.2023 19:40;
26.12.2023 19:50;
26.12.2023 20:00;
26.12.2023 20:10;
26.12.2023 20:20;
26.12.2023 20:30;
26.12.2023 20:40;
26.12.2023 20:50;
26.12.2023 21:00;
26.12.2023 21:10;
26.12.2023 21:20;
26.12.2023 21:30;
26.12.2023 21:40;
26.12.2023 21:50;
26.12.2023 22:00;
26.12.2023 22:10;
26.12.2023 22:20;
26.12.2023 22:30;
26.12.2023 22:40;
26.12.2023 22:50;
26.12.2023 23:00;
26.12.2023 23:10;
26.12.2023 23:20;
26.12.2023 23:30;
26.12.2023 23:40;
26.12.2023 23:50;
