sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
05.12.2023 00:00;
05.12.2023 00:10;
05.12.2023 00:20;
05.12.2023 00:30;
05.12.2023 00:40;
05.12.2023 00:50;
05.12.2023 01:00;
05.12.2023 01:10;
05.12.2023 01:20;
05.12.2023 01:30;
05.12.2023 01:40;
05.12.2023 01:50;
05.12.2023 02:00;
05.12.2023 02:10;
05.12.2023 02:20;
05.12.2023 02:30;
05.12.2023 02:40;
05.12.2023 02:50;
05.12.2023 03:00;
05.12.2023 03:10;
05.12.2023 03:20;
05.12.2023 03:30;
05.12.2023 03:40;
05.12.2023 03:50;
05.12.2023 04:00;
05.12.2023 04:10;
05.12.2023 04:20;
05.12.2023 04:30;
05.12.2023 04:40;
05.12.2023 04:50;
05.12.2023 05:00;
05.12.2023 05:10;
05.12.2023 05:20;
05.12.2023 05:30;
05.12.2023 05:40;
05.12.2023 05:50;
05.12.2023 06:00;
05.12.2023 06:10;
05.12.2023 06:20;
05.12.2023 06:30;
05.12.2023 06:40;
05.12.2023 06:50;
05.12.2023 07:00;
05.12.2023 07:10;
05.12.2023 07:20;
05.12.2023 07:30;
05.12.2023 07:40;
05.12.2023 07:50;
05.12.2023 08:00;
05.12.2023 08:10;
05.12.2023 08:20;
05.12.2023 08:30;
05.12.2023 08:40;
05.12.2023 08:50;
05.12.2023 09:00;
05.12.2023 09:10;
05.12.2023 09:20;46680,902
05.12.2023 09:30;46680,902
05.12.2023 09:40;46680,902
05.12.2023 09:50;46680,904
05.12.2023 10:00;46680,908
05.12.2023 10:10;46680,913
05.12.2023 10:20;46680,930
05.12.2023 10:30;
05.12.2023 10:40;46680,968
05.12.2023 10:50;46680,994
05.12.2023 11:00;46681,020
05.12.2023 11:10;46681,062
05.12.2023 11:20;46681,096
05.12.2023 11:30;46681,133
05.12.2023 11:40;46681,178
05.12.2023 11:50;46681,220
05.12.2023 12:00;46681,264
05.12.2023 12:10;46681,333
05.12.2023 12:20;46681,435
05.12.2023 12:30;46681,566
05.12.2023 12:40;46681,629
05.12.2023 12:50;46681,729
05.12.2023 13:00;46681,821
05.12.2023 13:10;46681,913
05.12.2023 13:20;46681,970
05.12.2023 13:30;46682,020
05.12.2023 13:40;46682,100
05.12.2023 13:50;46682,172
05.12.2023 14:00;46682,253
05.12.2023 14:10;46682,338
05.12.2023 14:20;46682,418
05.12.2023 14:30;46682,500
05.12.2023 14:40;46682,579
05.12.2023 14:50;46682,651
05.12.2023 15:00;
05.12.2023 15:10;46682,729
05.12.2023 15:20;46682,764
05.12.2023 15:30;46682,791
05.12.2023 15:40;46682,824
05.12.2023 15:50;46682,837
05.12.2023 16:00;
05.12.2023 16:10;46682,857
05.12.2023 16:20;46682,865
05.12.2023 16:30;46682,869
05.12.2023 16:40;46682,871
05.12.2023 16:50;46682,873
05.12.2023 17:00;46682,874
05.12.2023 17:10;46682,874
05.12.2023 17:20;46682,874
05.12.2023 17:30;
05.12.2023 17:40;
05.12.2023 17:50;
05.12.2023 18:00;
05.12.2023 18:10;
05.12.2023 18:20;
05.12.2023 18:30;
05.12.2023 18:40;
05.12.2023 18:50;
05.12.2023 19:00;
05.12.2023 19:10;
05.12.2023 19:20;
05.12.2023 19:30;
05.12.2023 19:40;
05.12.2023 19:50;
05.12.2023 20:00;
05.12.2023 20:10;
05.12.2023 20:20;
05.12.2023 20:30;
05.12.2023 20:40;
05.12.2023 20:50;
05.12.2023 21:00;
05.12.2023 21:10;
05.12.2023 21:20;
05.12.2023 21:30;
05.12.2023 21:40;
05.12.2023 21:50;
05.12.2023 22:00;
05.12.2023 22:10;
05.12.2023 22:20;
05.12.2023 22:30;
05.12.2023 22:40;
05.12.2023 22:50;
05.12.2023 23:00;
05.12.2023 23:10;
05.12.2023 23:20;
05.12.2023 23:30;
05.12.2023 23:40;
05.12.2023 23:50;
