sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
19.12.2023 00:00;
19.12.2023 00:10;
19.12.2023 00:20;
19.12.2023 00:30;
19.12.2023 00:40;
19.12.2023 00:50;
19.12.2023 01:00;
19.12.2023 01:10;
19.12.2023 01:20;
19.12.2023 01:30;
19.12.2023 01:40;
19.12.2023 01:50;
19.12.2023 02:00;
19.12.2023 02:10;
19.12.2023 02:20;
19.12.2023 02:30;
19.12.2023 02:40;
19.12.2023 02:50;
19.12.2023 03:00;
19.12.2023 03:10;
19.12.2023 03:20;
19.12.2023 03:30;
19.12.2023 03:40;
19.12.2023 03:50;
19.12.2023 04:00;
19.12.2023 04:10;
19.12.2023 04:20;
19.12.2023 04:30;
19.12.2023 04:40;
19.12.2023 04:50;
19.12.2023 05:00;
19.12.2023 05:10;
19.12.2023 05:20;
19.12.2023 05:30;
19.12.2023 05:40;
19.12.2023 05:50;
19.12.2023 06:00;
19.12.2023 06:10;
19.12.2023 06:20;
19.12.2023 06:30;
19.12.2023 06:40;
19.12.2023 06:50;
19.12.2023 07:00;
19.12.2023 07:10;
19.12.2023 07:20;
19.12.2023 07:30;
19.12.2023 07:40;
19.12.2023 07:50;
19.12.2023 08:00;
19.12.2023 08:10;
19.12.2023 08:20;
19.12.2023 08:30;
19.12.2023 08:40;
19.12.2023 08:50;
19.12.2023 09:00;
19.12.2023 09:10;
19.12.2023 09:20;
19.12.2023 09:30;46717,211
19.12.2023 09:40;46717,211
19.12.2023 09:50;46717,211
19.12.2023 10:00;46717,212
19.12.2023 10:10;46717,213
19.12.2023 10:20;46717,215
19.12.2023 10:30;46717,217
19.12.2023 10:40;46717,222
19.12.2023 10:50;46717,229
19.12.2023 11:00;46717,238
19.12.2023 11:10;46717,249
19.12.2023 11:20;46717,258
19.12.2023 11:30;46717,266
19.12.2023 11:40;46717,296
19.12.2023 11:50;46717,326
19.12.2023 12:00;46717,351
19.12.2023 12:10;46717,384
19.12.2023 12:20;46717,420
19.12.2023 12:30;46717,449
19.12.2023 12:40;46717,471
19.12.2023 12:50;46717,485
19.12.2023 13:00;46717,499
19.12.2023 13:10;46717,514
19.12.2023 13:20;46717,529
19.12.2023 13:30;46717,551
19.12.2023 13:40;46717,575
19.12.2023 13:50;46717,597
19.12.2023 14:00;46717,617
19.12.2023 14:10;46717,639
19.12.2023 14:20;46717,668
19.12.2023 14:30;46717,697
19.12.2023 14:40;46717,722
19.12.2023 14:50;46717,743
19.12.2023 15:00;46717,765
19.12.2023 15:10;46717,785
19.12.2023 15:20;46717,800
19.12.2023 15:30;46717,808
19.12.2023 15:40;46717,813
19.12.2023 15:50;46717,816
19.12.2023 16:00;46717,819
19.12.2023 16:10;46717,820
19.12.2023 16:20;46717,822
19.12.2023 16:30;46717,822
19.12.2023 16:40;46717,823
19.12.2023 16:50;46717,823
19.12.2023 17:00;46717,823
19.12.2023 17:10;46717,823
19.12.2023 17:20;
19.12.2023 17:30;
19.12.2023 17:40;
19.12.2023 17:50;
19.12.2023 18:00;
19.12.2023 18:10;
19.12.2023 18:20;
19.12.2023 18:30;
19.12.2023 18:40;
19.12.2023 18:50;
19.12.2023 19:00;
19.12.2023 19:10;
19.12.2023 19:20;
19.12.2023 19:30;
19.12.2023 19:40;
19.12.2023 19:50;
19.12.2023 20:00;
19.12.2023 20:10;
19.12.2023 20:20;
19.12.2023 20:30;
19.12.2023 20:40;
19.12.2023 20:50;
19.12.2023 21:00;
19.12.2023 21:10;
19.12.2023 21:20;
19.12.2023 21:30;
19.12.2023 21:40;
19.12.2023 21:50;
19.12.2023 22:00;
19.12.2023 22:10;
19.12.2023 22:20;
19.12.2023 22:30;
19.12.2023 22:40;
19.12.2023 22:50;
19.12.2023 23:00;
19.12.2023 23:10;
19.12.2023 23:20;
19.12.2023 23:30;
19.12.2023 23:40;
19.12.2023 23:50;
