sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
10.12.2023 00:00;
10.12.2023 00:10;
10.12.2023 00:20;
10.12.2023 00:30;
10.12.2023 00:40;
10.12.2023 00:50;
10.12.2023 01:00;
10.12.2023 01:10;
10.12.2023 01:20;
10.12.2023 01:30;
10.12.2023 01:40;
10.12.2023 01:50;
10.12.2023 02:00;
10.12.2023 02:10;
10.12.2023 02:20;
10.12.2023 02:30;
10.12.2023 02:40;
10.12.2023 02:50;
10.12.2023 03:00;
10.12.2023 03:10;
10.12.2023 03:20;
10.12.2023 03:30;
10.12.2023 03:40;
10.12.2023 03:50;
10.12.2023 04:00;
10.12.2023 04:10;
10.12.2023 04:20;
10.12.2023 04:30;
10.12.2023 04:40;
10.12.2023 04:50;
10.12.2023 05:00;
10.12.2023 05:10;
10.12.2023 05:20;
10.12.2023 05:30;
10.12.2023 05:40;
10.12.2023 05:50;
10.12.2023 06:00;
10.12.2023 06:10;
10.12.2023 06:20;
10.12.2023 06:30;
10.12.2023 06:40;
10.12.2023 06:50;
10.12.2023 07:00;
10.12.2023 07:10;
10.12.2023 07:20;
10.12.2023 07:30;
10.12.2023 07:40;
10.12.2023 07:50;
10.12.2023 08:00;
10.12.2023 08:10;
10.12.2023 08:20;
10.12.2023 08:30;
10.12.2023 08:40;
10.12.2023 08:50;
10.12.2023 09:00;
10.12.2023 09:10;
10.12.2023 09:20;
10.12.2023 09:30;46690,678
10.12.2023 09:40;46690,678
10.12.2023 09:50;46690,678
10.12.2023 10:00;46690,678
10.12.2023 10:10;46690,678
10.12.2023 10:20;46690,679
10.12.2023 10:30;46690,681
10.12.2023 10:40;46690,687
10.12.2023 10:50;46690,692
10.12.2023 11:00;46690,699
10.12.2023 11:10;46690,709
10.12.2023 11:20;46690,759
10.12.2023 11:30;46690,806
10.12.2023 11:40;46690,883
10.12.2023 11:50;46691,045
10.12.2023 12:00;46691,235
10.12.2023 12:10;46691,340
10.12.2023 12:20;46691,503
10.12.2023 12:30;46691,695
10.12.2023 12:40;46691,821
10.12.2023 12:50;46691,931
10.12.2023 13:00;46691,999
10.12.2023 13:10;46692,050
10.12.2023 13:20;46692,093
10.12.2023 13:30;46692,211
10.12.2023 13:40;46692,482
10.12.2023 13:50;46692,795
10.12.2023 14:00;46693,111
10.12.2023 14:10;46693,324
10.12.2023 14:20;46693,397
10.12.2023 14:30;46693,440
10.12.2023 14:40;46693,495
10.12.2023 14:50;46693,519
10.12.2023 15:00;46693,543
10.12.2023 15:10;46693,568
10.12.2023 15:20;46693,590
10.12.2023 15:30;46693,609
10.12.2023 15:40;46693,624
10.12.2023 15:50;46693,633
10.12.2023 16:00;46693,642
10.12.2023 16:10;46693,648
10.12.2023 16:20;46693,660
10.12.2023 16:30;46693,665
10.12.2023 16:40;46693,666
10.12.2023 16:50;46693,667
10.12.2023 17:00;46693,667
10.12.2023 17:10;46693,667
10.12.2023 17:20;
10.12.2023 17:30;
10.12.2023 17:40;
10.12.2023 17:50;
10.12.2023 18:00;
10.12.2023 18:10;
10.12.2023 18:20;
10.12.2023 18:30;
10.12.2023 18:40;
10.12.2023 18:50;
10.12.2023 19:00;
10.12.2023 19:10;
10.12.2023 19:20;
10.12.2023 19:30;
10.12.2023 19:40;
10.12.2023 19:50;
10.12.2023 20:00;
10.12.2023 20:10;
10.12.2023 20:20;
10.12.2023 20:30;
10.12.2023 20:40;
10.12.2023 20:50;
10.12.2023 21:00;
10.12.2023 21:10;
10.12.2023 21:20;
10.12.2023 21:30;
10.12.2023 21:40;
10.12.2023 21:50;
10.12.2023 22:00;
10.12.2023 22:10;
10.12.2023 22:20;
10.12.2023 22:30;
10.12.2023 22:40;
10.12.2023 22:50;
10.12.2023 23:00;
10.12.2023 23:10;
10.12.2023 23:20;
10.12.2023 23:30;
10.12.2023 23:40;
10.12.2023 23:50;
