sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
28.12.2023 00:00;
28.12.2023 00:10;
28.12.2023 00:20;
28.12.2023 00:30;
28.12.2023 00:40;
28.12.2023 00:50;
28.12.2023 01:00;
28.12.2023 01:10;
28.12.2023 01:20;
28.12.2023 01:30;
28.12.2023 01:40;
28.12.2023 01:50;
28.12.2023 02:00;
28.12.2023 02:10;
28.12.2023 02:20;
28.12.2023 02:30;
28.12.2023 02:40;
28.12.2023 02:50;
28.12.2023 03:00;
28.12.2023 03:10;
28.12.2023 03:20;
28.12.2023 03:30;
28.12.2023 03:40;
28.12.2023 03:50;
28.12.2023 04:00;
28.12.2023 04:10;
28.12.2023 04:20;
28.12.2023 04:30;
28.12.2023 04:40;
28.12.2023 04:50;
28.12.2023 05:00;
28.12.2023 05:10;
28.12.2023 05:20;
28.12.2023 05:30;
28.12.2023 05:40;
28.12.2023 05:50;
28.12.2023 06:00;
28.12.2023 06:10;
28.12.2023 06:20;
28.12.2023 06:30;
28.12.2023 06:40;
28.12.2023 06:50;
28.12.2023 07:00;
28.12.2023 07:10;
28.12.2023 07:20;
28.12.2023 07:30;
28.12.2023 07:40;
28.12.2023 07:50;
28.12.2023 08:00;
28.12.2023 08:10;
28.12.2023 08:20;
28.12.2023 08:30;
28.12.2023 08:40;
28.12.2023 08:50;
28.12.2023 09:00;
28.12.2023 09:10;
28.12.2023 09:20;
28.12.2023 09:30;
28.12.2023 09:40;46724,070
28.12.2023 09:50;46724,070
28.12.2023 10:00;46724,071
28.12.2023 10:10;46724,074
28.12.2023 10:20;46724,083
28.12.2023 10:30;46724,099
28.12.2023 10:40;46724,115
28.12.2023 10:50;46724,140
28.12.2023 11:00;46724,178
28.12.2023 11:10;46724,239
28.12.2023 11:20;46724,301
28.12.2023 11:30;46724,437
28.12.2023 11:40;46724,618
28.12.2023 11:50;46724,819
28.12.2023 12:00;46725,067
28.12.2023 12:10;46725,344
28.12.2023 12:20;46725,617
28.12.2023 12:30;46725,934
28.12.2023 12:40;46726,272
28.12.2023 12:50;46726,623
28.12.2023 13:00;46726,994
28.12.2023 13:10;46727,382
28.12.2023 13:20;46727,765
28.12.2023 13:30;46728,145
28.12.2023 13:40;46728,539
28.12.2023 13:50;46728,935
28.12.2023 14:00;46729,328
28.12.2023 14:10;46729,605
28.12.2023 14:20;46729,993
28.12.2023 14:30;46730,300
28.12.2023 14:40;46730,625
28.12.2023 14:50;46730,969
28.12.2023 15:00;46731,315
28.12.2023 15:10;46731,626
28.12.2023 15:20;46731,903
28.12.2023 15:30;46732,134
28.12.2023 15:40;46732,268
28.12.2023 15:50;46732,321
28.12.2023 16:00;46732,354
28.12.2023 16:10;46732,393
28.12.2023 16:20;46732,433
28.12.2023 16:30;46732,462
28.12.2023 16:40;46732,490
28.12.2023 16:50;46732,507
28.12.2023 17:00;46732,521
28.12.2023 17:10;46732,530
28.12.2023 17:20;46732,531
28.12.2023 17:30;46732,531
28.12.2023 17:40;46732,531
28.12.2023 17:50;
28.12.2023 18:00;
28.12.2023 18:10;
28.12.2023 18:20;
28.12.2023 18:30;
28.12.2023 18:40;
28.12.2023 18:50;
28.12.2023 19:00;
28.12.2023 19:10;
28.12.2023 19:20;
28.12.2023 19:30;
28.12.2023 19:40;
28.12.2023 19:50;
28.12.2023 20:00;
28.12.2023 20:10;
28.12.2023 20:20;
28.12.2023 20:30;
28.12.2023 20:40;
28.12.2023 20:50;
28.12.2023 21:00;
28.12.2023 21:10;
28.12.2023 21:20;
28.12.2023 21:30;
28.12.2023 21:40;
28.12.2023 21:50;
28.12.2023 22:00;
28.12.2023 22:10;
28.12.2023 22:20;
28.12.2023 22:30;
28.12.2023 22:40;
28.12.2023 22:50;
28.12.2023 23:00;
28.12.2023 23:10;
28.12.2023 23:20;
28.12.2023 23:30;
28.12.2023 23:40;
28.12.2023 23:50;
