sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
31.12.2023 00:00;
31.12.2023 00:10;
31.12.2023 00:20;
31.12.2023 00:30;
31.12.2023 00:40;
31.12.2023 00:50;
31.12.2023 01:00;
31.12.2023 01:10;
31.12.2023 01:20;
31.12.2023 01:30;
31.12.2023 01:40;
31.12.2023 01:50;
31.12.2023 02:00;
31.12.2023 02:10;
31.12.2023 02:20;
31.12.2023 02:30;
31.12.2023 02:40;
31.12.2023 02:50;
31.12.2023 03:00;
31.12.2023 03:10;
31.12.2023 03:20;
31.12.2023 03:30;
31.12.2023 03:40;
31.12.2023 03:50;
31.12.2023 04:00;
31.12.2023 04:10;
31.12.2023 04:20;
31.12.2023 04:30;
31.12.2023 04:40;
31.12.2023 04:50;
31.12.2023 05:00;
31.12.2023 05:10;
31.12.2023 05:20;
31.12.2023 05:30;
31.12.2023 05:40;
31.12.2023 05:50;
31.12.2023 06:00;
31.12.2023 06:10;
31.12.2023 06:20;
31.12.2023 06:30;
31.12.2023 06:40;
31.12.2023 06:50;
31.12.2023 07:00;
31.12.2023 07:10;
31.12.2023 07:20;
31.12.2023 07:30;
31.12.2023 07:40;
31.12.2023 07:50;
31.12.2023 08:00;
31.12.2023 08:10;
31.12.2023 08:20;
31.12.2023 08:30;
31.12.2023 08:40;
31.12.2023 08:50;
31.12.2023 09:00;
31.12.2023 09:10;
31.12.2023 09:20;
31.12.2023 09:30;
31.12.2023 09:40;
31.12.2023 09:50;46738,326
31.12.2023 10:00;46738,326
31.12.2023 10:10;46738,327
31.12.2023 10:20;46738,328
31.12.2023 10:30;46738,329
31.12.2023 10:40;46738,331
31.12.2023 10:50;46738,338
31.12.2023 11:00;46738,348
31.12.2023 11:10;46738,369
31.12.2023 11:20;46738,406
31.12.2023 11:30;46738,425
31.12.2023 11:40;46738,443
31.12.2023 11:50;46738,454
31.12.2023 12:00;46738,464
31.12.2023 12:10;46738,469
31.12.2023 12:20;46738,482
31.12.2023 12:30;46738,495
31.12.2023 12:40;46738,545
31.12.2023 12:50;46738,581
31.12.2023 13:00;46738,590
31.12.2023 13:10;46738,606
31.12.2023 13:20;46738,641
31.12.2023 13:30;46738,673
31.12.2023 13:40;46738,699
31.12.2023 13:50;46738,728
31.12.2023 14:00;46738,754
31.12.2023 14:10;46738,773
31.12.2023 14:20;46738,785
31.12.2023 14:30;46738,792
31.12.2023 14:40;46738,798
31.12.2023 14:50;46738,802
31.12.2023 15:00;46738,809
31.12.2023 15:10;46738,818
31.12.2023 15:20;46738,829
31.12.2023 15:30;46738,841
31.12.2023 15:40;46738,857
31.12.2023 15:50;46738,870
31.12.2023 16:00;46738,878
31.12.2023 16:10;46738,887
31.12.2023 16:20;46738,891
31.12.2023 16:30;46738,895
31.12.2023 16:40;46738,896
31.12.2023 16:50;46738,898
31.12.2023 17:00;46738,899
31.12.2023 17:10;46738,899
31.12.2023 17:20;46738,900
31.12.2023 17:30;46738,901
31.12.2023 17:40;46738,901
31.12.2023 17:50;
31.12.2023 18:00;
31.12.2023 18:10;
31.12.2023 18:20;
31.12.2023 18:30;
31.12.2023 18:40;
31.12.2023 18:50;
31.12.2023 19:00;
31.12.2023 19:10;
31.12.2023 19:20;
31.12.2023 19:30;
31.12.2023 19:40;
31.12.2023 19:50;
31.12.2023 20:00;
31.12.2023 20:10;
31.12.2023 20:20;
31.12.2023 20:30;
31.12.2023 20:40;
31.12.2023 20:50;
31.12.2023 21:00;
31.12.2023 21:10;
31.12.2023 21:20;
31.12.2023 21:30;
31.12.2023 21:40;
31.12.2023 21:50;
31.12.2023 22:00;
31.12.2023 22:10;
31.12.2023 22:20;
31.12.2023 22:30;
31.12.2023 22:40;
31.12.2023 22:50;
31.12.2023 23:00;
31.12.2023 23:10;
31.12.2023 23:20;
31.12.2023 23:30;
31.12.2023 23:40;
31.12.2023 23:50;
