sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
23.12.2023 00:00;
23.12.2023 00:10;
23.12.2023 00:20;
23.12.2023 00:30;
23.12.2023 00:40;
23.12.2023 00:50;
23.12.2023 01:00;
23.12.2023 01:10;
23.12.2023 01:20;
23.12.2023 01:30;
23.12.2023 01:40;
23.12.2023 01:50;
23.12.2023 02:00;
23.12.2023 02:10;
23.12.2023 02:20;
23.12.2023 02:30;
23.12.2023 02:40;
23.12.2023 02:50;
23.12.2023 03:00;
23.12.2023 03:10;
23.12.2023 03:20;
23.12.2023 03:30;
23.12.2023 03:40;
23.12.2023 03:50;
23.12.2023 04:00;
23.12.2023 04:10;
23.12.2023 04:20;
23.12.2023 04:30;
23.12.2023 04:40;
23.12.2023 04:50;
23.12.2023 05:00;
23.12.2023 05:10;
23.12.2023 05:20;
23.12.2023 05:30;
23.12.2023 05:40;
23.12.2023 05:50;
23.12.2023 06:00;
23.12.2023 06:10;
23.12.2023 06:20;
23.12.2023 06:30;
23.12.2023 06:40;
23.12.2023 06:50;
23.12.2023 07:00;
23.12.2023 07:10;
23.12.2023 07:20;
23.12.2023 07:30;
23.12.2023 07:40;
23.12.2023 07:50;
23.12.2023 08:00;
23.12.2023 08:10;
23.12.2023 08:20;
23.12.2023 08:30;
23.12.2023 08:40;
23.12.2023 08:50;
23.12.2023 09:00;
23.12.2023 09:10;
23.12.2023 09:20;
23.12.2023 09:30;
23.12.2023 09:40;
23.12.2023 09:50;46719,313
23.12.2023 10:00;46719,313
23.12.2023 10:10;46719,313
23.12.2023 10:20;46719,313
23.12.2023 10:30;46719,314
23.12.2023 10:40;46719,315
23.12.2023 10:50;46719,317
23.12.2023 11:00;46719,318
23.12.2023 11:10;46719,321
23.12.2023 11:20;46719,327
23.12.2023 11:30;46719,333
23.12.2023 11:40;46719,336
23.12.2023 11:50;46719,339
23.12.2023 12:00;46719,340
23.12.2023 12:10;46719,343
23.12.2023 12:20;46719,349
23.12.2023 12:30;46719,356
23.12.2023 12:40;46719,360
23.12.2023 12:50;46719,366
23.12.2023 13:00;46719,371
23.12.2023 13:10;46719,377
23.12.2023 13:20;46719,387
23.12.2023 13:30;46719,400
23.12.2023 13:40;46719,409
23.12.2023 13:50;46719,418
23.12.2023 14:00;46719,428
23.12.2023 14:10;46719,436
23.12.2023 14:20;46719,445
23.12.2023 14:30;46719,452
23.12.2023 14:40;46719,462
23.12.2023 14:50;46719,471
23.12.2023 15:00;46719,479
23.12.2023 15:10;46719,486
23.12.2023 15:20;46719,498
23.12.2023 15:30;46719,509
23.12.2023 15:40;46719,519
23.12.2023 15:50;46719,535
23.12.2023 16:00;46719,551
23.12.2023 16:10;46719,558
23.12.2023 16:20;46719,562
23.12.2023 16:30;46719,566
23.12.2023 16:40;46719,567
23.12.2023 16:50;46719,567
23.12.2023 17:00;46719,567
23.12.2023 17:10;46719,567
23.12.2023 17:20;
23.12.2023 17:30;
23.12.2023 17:40;
23.12.2023 17:50;
23.12.2023 18:00;
23.12.2023 18:10;
23.12.2023 18:20;
23.12.2023 18:30;
23.12.2023 18:40;
23.12.2023 18:50;
23.12.2023 19:00;
23.12.2023 19:10;
23.12.2023 19:20;
23.12.2023 19:30;
23.12.2023 19:40;
23.12.2023 19:50;
23.12.2023 20:00;
23.12.2023 20:10;
23.12.2023 20:20;
23.12.2023 20:30;
23.12.2023 20:40;
23.12.2023 20:50;
23.12.2023 21:00;
23.12.2023 21:10;
23.12.2023 21:20;
23.12.2023 21:30;
23.12.2023 21:40;
23.12.2023 21:50;
23.12.2023 22:00;
23.12.2023 22:10;
23.12.2023 22:20;
23.12.2023 22:30;
23.12.2023 22:40;
23.12.2023 22:50;
23.12.2023 23:00;
23.12.2023 23:10;
23.12.2023 23:20;
23.12.2023 23:30;
23.12.2023 23:40;
23.12.2023 23:50;
