sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
22.12.2023 00:00;
22.12.2023 00:10;
22.12.2023 00:20;
22.12.2023 00:30;
22.12.2023 00:40;
22.12.2023 00:50;
22.12.2023 01:00;
22.12.2023 01:10;
22.12.2023 01:20;
22.12.2023 01:30;
22.12.2023 01:40;
22.12.2023 01:50;
22.12.2023 02:00;
22.12.2023 02:10;
22.12.2023 02:20;
22.12.2023 02:30;
22.12.2023 02:40;
22.12.2023 02:50;
22.12.2023 03:00;
22.12.2023 03:10;
22.12.2023 03:20;
22.12.2023 03:30;
22.12.2023 03:40;
22.12.2023 03:50;
22.12.2023 04:00;
22.12.2023 04:10;
22.12.2023 04:20;
22.12.2023 04:30;
22.12.2023 04:40;
22.12.2023 04:50;
22.12.2023 05:00;
22.12.2023 05:10;
22.12.2023 05:20;
22.12.2023 05:30;
22.12.2023 05:40;
22.12.2023 05:50;
22.12.2023 06:00;
22.12.2023 06:10;
22.12.2023 06:20;
22.12.2023 06:30;
22.12.2023 06:40;
22.12.2023 06:50;
22.12.2023 07:00;
22.12.2023 07:10;
22.12.2023 07:20;
22.12.2023 07:30;
22.12.2023 07:40;
22.12.2023 07:50;
22.12.2023 08:00;
22.12.2023 08:10;
22.12.2023 08:20;
22.12.2023 08:30;
22.12.2023 08:40;
22.12.2023 08:50;
22.12.2023 09:00;
22.12.2023 09:10;
22.12.2023 09:20;
22.12.2023 09:30;46719,135
22.12.2023 09:40;46719,135
22.12.2023 09:50;46719,135
22.12.2023 10:00;46719,135
22.12.2023 10:10;46719,135
22.12.2023 10:20;46719,135
22.12.2023 10:30;46719,135
22.12.2023 10:40;46719,135
22.12.2023 10:50;46719,136
22.12.2023 11:00;46719,137
22.12.2023 11:10;46719,138
22.12.2023 11:20;46719,141
22.12.2023 11:30;46719,142
22.12.2023 11:40;46719,143
22.12.2023 11:50;46719,147
22.12.2023 12:00;46719,156
22.12.2023 12:10;46719,167
22.12.2023 12:20;46719,173
22.12.2023 12:30;46719,175
22.12.2023 12:40;46719,178
22.12.2023 12:50;46719,186
22.12.2023 13:00;46719,191
22.12.2023 13:10;46719,198
22.12.2023 13:20;46719,207
22.12.2023 13:30;46719,216
22.12.2023 13:40;46719,227
22.12.2023 13:50;46719,230
22.12.2023 14:00;46719,241
22.12.2023 14:10;46719,250
22.12.2023 14:20;46719,252
22.12.2023 14:30;46719,254
22.12.2023 14:40;46719,256
22.12.2023 14:50;46719,258
22.12.2023 15:00;46719,264
22.12.2023 15:10;46719,268
22.12.2023 15:20;46719,279
22.12.2023 15:30;46719,285
22.12.2023 15:40;46719,293
22.12.2023 15:50;46719,301
22.12.2023 16:00;46719,308
22.12.2023 16:10;46719,308
22.12.2023 16:20;46719,309
22.12.2023 16:30;46719,309
22.12.2023 16:40;46719,312
22.12.2023 16:50;46719,313
22.12.2023 17:00;46719,313
22.12.2023 17:10;46719,313
22.12.2023 17:20;
22.12.2023 17:30;
22.12.2023 17:40;
22.12.2023 17:50;
22.12.2023 18:00;
22.12.2023 18:10;
22.12.2023 18:20;
22.12.2023 18:30;
22.12.2023 18:40;
22.12.2023 18:50;
22.12.2023 19:00;
22.12.2023 19:10;
22.12.2023 19:20;
22.12.2023 19:30;
22.12.2023 19:40;
22.12.2023 19:50;
22.12.2023 20:00;
22.12.2023 20:10;
22.12.2023 20:20;
22.12.2023 20:30;
22.12.2023 20:40;
22.12.2023 20:50;
22.12.2023 21:00;
22.12.2023 21:10;
22.12.2023 21:20;
22.12.2023 21:30;
22.12.2023 21:40;
22.12.2023 21:50;
22.12.2023 22:00;
22.12.2023 22:10;
22.12.2023 22:20;
22.12.2023 22:30;
22.12.2023 22:40;
22.12.2023 22:50;
22.12.2023 23:00;
22.12.2023 23:10;
22.12.2023 23:20;
22.12.2023 23:30;
22.12.2023 23:40;
22.12.2023 23:50;
