sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2001122827
;SB 3300     
;2001122827
;E-Total
;Counter
DD.MM.YYYY HH:mm;kWh
20.12.2023 00:00;
20.12.2023 00:10;
20.12.2023 00:20;
20.12.2023 00:30;
20.12.2023 00:40;
20.12.2023 00:50;
20.12.2023 01:00;
20.12.2023 01:10;
20.12.2023 01:20;
20.12.2023 01:30;
20.12.2023 01:40;
20.12.2023 01:50;
20.12.2023 02:00;
20.12.2023 02:10;
20.12.2023 02:20;
20.12.2023 02:30;
20.12.2023 02:40;
20.12.2023 02:50;
20.12.2023 03:00;
20.12.2023 03:10;
20.12.2023 03:20;
20.12.2023 03:30;
20.12.2023 03:40;
20.12.2023 03:50;
20.12.2023 04:00;
20.12.2023 04:10;
20.12.2023 04:20;
20.12.2023 04:30;
20.12.2023 04:40;
20.12.2023 04:50;
20.12.2023 05:00;
20.12.2023 05:10;
20.12.2023 05:20;
20.12.2023 05:30;
20.12.2023 05:40;
20.12.2023 05:50;
20.12.2023 06:00;
20.12.2023 06:10;
20.12.2023 06:20;
20.12.2023 06:30;
20.12.2023 06:40;
20.12.2023 06:50;
20.12.2023 07:00;
20.12.2023 07:10;
20.12.2023 07:20;
20.12.2023 07:30;
20.12.2023 07:40;
20.12.2023 07:50;
20.12.2023 08:00;
20.12.2023 08:10;
20.12.2023 08:20;
20.12.2023 08:30;
20.12.2023 08:40;
20.12.2023 08:50;
20.12.2023 09:00;
20.12.2023 09:10;
20.12.2023 09:20;
20.12.2023 09:30;
20.12.2023 09:40;46717,823
20.12.2023 09:50;46717,823
20.12.2023 10:00;46717,823
20.12.2023 10:10;46717,828
20.12.2023 10:20;46717,829
20.12.2023 10:30;46717,842
20.12.2023 10:40;46717,856
20.12.2023 10:50;46717,873
20.12.2023 11:00;46717,887
20.12.2023 11:10;46717,905
20.12.2023 11:20;46717,923
20.12.2023 11:30;46717,946
20.12.2023 11:40;46717,975
20.12.2023 11:50;46718,000
20.12.2023 12:00;46718,026
20.12.2023 12:10;46718,060
20.12.2023 12:20;46718,103
20.12.2023 12:30;46718,156
20.12.2023 12:40;46718,206
20.12.2023 12:50;46718,265
20.12.2023 13:00;46718,324
20.12.2023 13:10;46718,381
20.12.2023 13:20;46718,417
20.12.2023 13:30;46718,439
20.12.2023 13:40;46718,459
20.12.2023 13:50;46718,493
20.12.2023 14:00;46718,535
20.12.2023 14:10;46718,578
20.12.2023 14:20;46718,603
20.12.2023 14:30;46718,623
20.12.2023 14:40;46718,647
20.12.2023 14:50;46718,678
20.12.2023 15:00;46718,706
20.12.2023 15:10;46718,726
20.12.2023 15:20;46718,742
20.12.2023 15:30;46718,764
20.12.2023 15:40;46718,796
20.12.2023 15:50;46718,822
20.12.2023 16:00;46718,844
20.12.2023 16:10;46718,858
20.12.2023 16:20;46718,871
20.12.2023 16:30;46718,889
20.12.2023 16:40;46718,904
20.12.2023 16:50;46718,909
20.12.2023 17:00;46718,910
20.12.2023 17:10;46718,910
20.12.2023 17:20;46718,910
20.12.2023 17:30;
20.12.2023 17:40;
20.12.2023 17:50;
20.12.2023 18:00;
20.12.2023 18:10;
20.12.2023 18:20;
20.12.2023 18:30;
20.12.2023 18:40;
20.12.2023 18:50;
20.12.2023 19:00;
20.12.2023 19:10;
20.12.2023 19:20;
20.12.2023 19:30;
20.12.2023 19:40;
20.12.2023 19:50;
20.12.2023 20:00;
20.12.2023 20:10;
20.12.2023 20:20;
20.12.2023 20:30;
20.12.2023 20:40;
20.12.2023 20:50;
20.12.2023 21:00;
20.12.2023 21:10;
20.12.2023 21:20;
20.12.2023 21:30;
20.12.2023 21:40;
20.12.2023 21:50;
20.12.2023 22:00;
20.12.2023 22:10;
20.12.2023 22:20;
20.12.2023 22:30;
20.12.2023 22:40;
20.12.2023 22:50;
20.12.2023 23:00;
20.12.2023 23:10;
20.12.2023 23:20;
20.12.2023 23:30;
20.12.2023 23:40;
20.12.2023 23:50;
